311,158040,--neBDssyZlHqAWgrHtUBQ,p_wgylnWMXSLlPGCRYSarQ,4
3739,2869,-9B3OS9cH8jIwIjYdqn8xQ,-yApKLEFAvvNyifvpNKWCA,4
3739,92465,-9B3OS9cH8jIwIjYdqn8xQ,UMqfeCItzQ2glr4d9apGlA,5
3739,26084,-9B3OS9cH8jIwIjYdqn8xQ,7vHvQCjPq5pWj7Rio1A--w,5
3739,186563,-9B3OS9cH8jIwIjYdqn8xQ,zK7sltLeRRioqYwgLiWUIA,3
3739,127725,-9B3OS9cH8jIwIjYdqn8xQ,fHo_ycJ1OQ_H7DyctJhr6A,5
3739,98120,-9B3OS9cH8jIwIjYdqn8xQ,WETHRoXB2IbixndSlOktJA,5
3739,41097,-9B3OS9cH8jIwIjYdqn8xQ,Cxd0CSaDsCmPqSCFkQDfIQ,5
3739,158743,-9B3OS9cH8jIwIjYdqn8xQ,pomGBqfbxcqPv14c3XH-ZQ,5
3739,126196,-9B3OS9cH8jIwIjYdqn8xQ,elqbBhBfElMNSrjFqW3now,4
3739,14745,-9B3OS9cH8jIwIjYdqn8xQ,42yLya7lhe7TQGz3KEdKAw,2
3739,157127,-9B3OS9cH8jIwIjYdqn8xQ,pHJu8tj3sI8eC5aIHLFEfQ,5
3739,40680,-9B3OS9cH8jIwIjYdqn8xQ,CoyeXg8FBsS_d20QzNIy-A,5
3739,41535,-9B3OS9cH8jIwIjYdqn8xQ,D6K3VT6S8FwFm4u5uN8T8g,4
3739,125835,-9B3OS9cH8jIwIjYdqn8xQ,eduRavkml8awmPachSZXuw,4
3739,144027,-9B3OS9cH8jIwIjYdqn8xQ,kpLt4l5J5kbMD4oxQLC2aA,2
3739,137673,-9B3OS9cH8jIwIjYdqn8xQ,igHYkXZMLAc9UdV5VnR_AA,5
3739,11772,-9B3OS9cH8jIwIjYdqn8xQ,33Tr0eRki1Yamzleu4GMdw,3
3739,10071,-9B3OS9cH8jIwIjYdqn8xQ,2SfSzEd3B7WimeZac23zhg,4
3739,75104,-9B3OS9cH8jIwIjYdqn8xQ,OTcBXjDkViDPds4Lxy8KIQ,4
3739,77045,-9B3OS9cH8jIwIjYdqn8xQ,P7pxQFqr7yBKMMI2J51udw,4
3739,63387,-9B3OS9cH8jIwIjYdqn8xQ,KTzBUAzUfFqvttyjWi_irw,5
3835,109162,-9Rqk-tjiooQ79uAWicxvA,ZzK2myEzK5aRrwOBUExLxg,3
3884,23752,-9_Nz6wJ9Rj0q7kq6YJ-MA,77h11eWv6HKJAgojLx8G4w,3
3884,60869,-9_Nz6wJ9Rj0q7kq6YJ-MA,JcFyuyo0Rt6gDiVZ9yJ3VQ,5
3884,46968,-9_Nz6wJ9Rj0q7kq6YJ-MA,EwUM6gGMBhrjOef0wmqKJQ,3
3884,15490,-9_Nz6wJ9Rj0q7kq6YJ-MA,4JNXUYY8wbaaDmk3BPzlWw,4
4232,176959,-AVFX69T2glgh8DWWwdIgA,w2b0ve7xpuCQkwYICFIUOg,5
4232,158729,-AVFX69T2glgh8DWWwdIgA,poYsvuOmVDqF4dTnjJ780A,4
4232,93539,-AVFX69T2glgh8DWWwdIgA,UidEFF1WpnU4duev4fjPlQ,4
4232,119737,-AVFX69T2glgh8DWWwdIgA,cYwJA2A6I12KNkm2rtXd5g,2
4649,95474,-BevLRnJhh9JeIT2g5I3mQ,VMXl3Dm1Nwvgwo1PVYTXbg,1
4649,123048,-BevLRnJhh9JeIT2g5I3mQ,dhZBWy4TCrNegiH_nwNAiQ,5
4649,63748,-BevLRnJhh9JeIT2g5I3mQ,KalAJyO0Zpg3K1wVwYXBHA,5
4649,171447,-BevLRnJhh9JeIT2g5I3mQ,uBdYMY6a6A7FyxzTSwOiDg,5
4649,83915,-BevLRnJhh9JeIT2g5I3mQ,RSPEJeFTKs1BsiVgjHp1WQ,5
4649,73636,-BevLRnJhh9JeIT2g5I3mQ,Nzk07R8GUXtfzkmqikhCCA,5
4649,80198,-BevLRnJhh9JeIT2g5I3mQ,QCCVxVRt1amqv0AaEWSKkg,5
4649,187303,-BevLRnJhh9JeIT2g5I3mQ,z_46RY-L3vcMrH3-wxCp9w,1
4649,9186,-BevLRnJhh9JeIT2g5I3mQ,296PZdxSrtH08EUwCsOKMw,5
4649,26120,-BevLRnJhh9JeIT2g5I3mQ,7wHLFohwCw8l6WS-feLjeg,5
4649,100753,-BevLRnJhh9JeIT2g5I3mQ,X91rjC4EkH_3ZGY3ciIs8Q,5
4649,7573,-BevLRnJhh9JeIT2g5I3mQ,1aMxCG33wAoxjWoeRsl4BA,5
4649,92602,-BevLRnJhh9JeIT2g5I3mQ,UPIYuRaZvknINOd1w8kqRQ,1
4649,15682,-BevLRnJhh9JeIT2g5I3mQ,4Nj2ktP2NjCbv2aKeH3ZBg,5
4649,180099,-BevLRnJhh9JeIT2g5I3mQ,x71EvWJDVKZfM-OiYDWZ6A,5
4649,117919,-BevLRnJhh9JeIT2g5I3mQ,bvow46stEejfxnnqEKTAyQ,5
4649,10965,-BevLRnJhh9JeIT2g5I3mQ,2m4092MsMzEHkuxodaj6-g,1
4649,66185,-BevLRnJhh9JeIT2g5I3mQ,LRpFWbovjUShlvCKQOS-Ng,5
4649,61761,-BevLRnJhh9JeIT2g5I3mQ,JvfpGZwk--IFhY7WVxKySw,5
4649,6455,-BevLRnJhh9JeIT2g5I3mQ,1CaM8eIvl41l4f3V-V-cAw,5
4649,179044,-BevLRnJhh9JeIT2g5I3mQ,wkKlpSx3OcoGJiv7p8VZzw,5
4649,125672,-BevLRnJhh9JeIT2g5I3mQ,eaNenRk_liZBERFFLCXqqQ,5
4649,22230,-BevLRnJhh9JeIT2g5I3mQ,6barvBOOX3KS6jcWCS6TSA,5
4649,115044,-BevLRnJhh9JeIT2g5I3mQ,axnI-1l2a_kydvL12-toIQ,1
4649,51076,-BevLRnJhh9JeIT2g5I3mQ,GJ_bXUPv672YwNg4TneJog,5
4649,70336,-BevLRnJhh9JeIT2g5I3mQ,MqYYYNA-ZYvV-1w5qcmMoA,5
4649,76397,-BevLRnJhh9JeIT2g5I3mQ,Oto60yDwk1z72WmfWEYrjg,1
4649,143876,-BevLRnJhh9JeIT2g5I3mQ,km5aBHRss5ir_B0jvEErzQ,1
4649,30427,-BevLRnJhh9JeIT2g5I3mQ,9P23-V64kYz3trn9ecaJJA,4
4649,60237,-BevLRnJhh9JeIT2g5I3mQ,JPfi__QJAaRzmfh5aOyFEw,5
4818,7745,-C6JT9AgyM0hndBDWQlNcQ,1diuAK7FMn93WxlK-ndJhA,5
4869,129213,-CF0DgZvTlKiIj2ngqkWAA,flTyCF4gxFwne7lUZhMxTQ,1
4869,143394,-CF0DgZvTlKiIj2ngqkWAA,kbTAyySlUZrTAr0nJOjiUw,1
4869,153552,-CF0DgZvTlKiIj2ngqkWAA,o2nt0ZJP0WmdDL-4HV-p4w,1
6039,118400,-FY22ZfOfRBmPq1Ludlljw,c5N-XCk-ntpyYRsYkwH7kA,5
6314,32242,-GEe27E7IE_2ViOn5hTphQ,A-uZAD4zP3rRxb44WUGV5w,5
6314,12344,-GEe27E7IE_2ViOn5hTphQ,3GEEy7RP6e4bT4LAiWFMFQ,5
6314,180288,-GEe27E7IE_2ViOn5hTphQ,xB7bsOpJbnK9nHEZw1ARDg,5
6314,10263,-GEe27E7IE_2ViOn5hTphQ,2Wl4o7l54I-EtxtaDpOTzA,4
6314,86956,-GEe27E7IE_2ViOn5hTphQ,SVGApDPNdpFlEjwRQThCxA,5
6314,95301,-GEe27E7IE_2ViOn5hTphQ,VIW-4GDAKGaXUdLtTVSFqQ,5
6314,75104,-GEe27E7IE_2ViOn5hTphQ,OTcBXjDkViDPds4Lxy8KIQ,5
6314,144590,-GEe27E7IE_2ViOn5hTphQ,l1GJnB9TJgGgEeI4at1M0A,5
6480,122073,-Gh19vLPEyfZEd6zggj4Ew,dNr7VKRti8dXWE-jzfVBtQ,5
6797,170594,-HYNrx_v73c2Jr6dLBuhXw,tulUhFYMvBkYHsjmn30A9w,1
6824,121131,-HaM1aba0rrvw_pL5fB2lA,d2ZQRjuizstCTnicysmpMQ,5
6837,137233,-HcirMcpUDd3GvexCOCCzg,iXYsUTt8ePcoJ3VStu-qHQ,1
6837,149399,-HcirMcpUDd3GvexCOCCzg,meK_kwDzNrke0hQNEpn4dw,5
6837,36308,-HcirMcpUDd3GvexCOCCzg,BMijjHQlejlE48s4tOjS5A,2
6837,131601,-HcirMcpUDd3GvexCOCCzg,gcouHCQrswvakJ6xSEKtFQ,5
6837,38313,-HcirMcpUDd3GvexCOCCzg,C2T7ecxqsVu99PhSqT3c3g,5
6837,79965,-HcirMcpUDd3GvexCOCCzg,Q7LXetNm-Aj34cv37TMp2A,2
6837,160443,-HcirMcpUDd3GvexCOCCzg,qOD5JYvGyH3si8sa0ypbKw,1
6837,4370,-HcirMcpUDd3GvexCOCCzg,0TljdWRIDQzlp4siHQ_BAQ,1
6837,171931,-HcirMcpUDd3GvexCOCCzg,uM1t6-vJfpZV2v_Qz7YR_g,1
6837,3664,-HcirMcpUDd3GvexCOCCzg,0EgYXYjt2XJL4hlsKnzrcw,3
6837,20483,-HcirMcpUDd3GvexCOCCzg,60uVlCUiLJvq3xNo_3bhQQ,5
6837,66022,-HcirMcpUDd3GvexCOCCzg,LOWn1xi9PfG2kxrUuC21nA,4
6837,14827,-HcirMcpUDd3GvexCOCCzg,44kd3YdkhXj5XiSPs5XNjQ,4
6837,112006,-HcirMcpUDd3GvexCOCCzg,_y1Et7f4NE6D1P1GzphlIw,4
6837,82071,-HcirMcpUDd3GvexCOCCzg,QpmotuTsf_nHT8RKViFMPQ,4
6837,175217,-HcirMcpUDd3GvexCOCCzg,vSXzr0aiYJZv6eE3IUNAJQ,4
6837,71686,-HcirMcpUDd3GvexCOCCzg,NJVJT0YWnPOUvKFLkPi4Fw,1
6837,99210,-HcirMcpUDd3GvexCOCCzg,Wbi-x-1Nbn6LFCMOSN6F5Q,1
6837,85271,-HcirMcpUDd3GvexCOCCzg,RwMLuOkImBIqqYj4SSKSPg,5
6904,122537,-Hp1fPfHRSctqm6hsCJJ4w,dXt7PAtGhxdgu7ff8iOZWA,5
6957,62708,-HxQbZEWT_Lv449XZti4WA,KFAJsmQ6GnHxyfmv16s9VA,2
6957,135187,-HxQbZEWT_Lv449XZti4WA,hq17ShjPKHnGn5DGnHrsXw,5
6957,30973,-HxQbZEWT_Lv449XZti4WA,9a3DrZvpYxVs3k_qwlCNSw,3
7026,116452,-I8v-2oFh4hRERijMK9ABw,bQm046mj02fKlNMvoS2SBg,3
7373,158243,-J3QBdHPqofO40pc6hq3xA,pe20N--YSUZlKYa-WaSfJA,2
7657,90288,-JlkU63RVDONfaXnUFg2Gg,Tc511yME8axDPq2J6woxkg,5
7955,110156,-KUc0r9E94FpECd8JzKfeQ,_JbuDLG7SFEtiCVDT1M0CQ,3
7955,151858,-KUc0r9E94FpECd8JzKfeQ,nUpKKVwG2WctMOXux19vew,1
7955,167859,-KUc0r9E94FpECd8JzKfeQ,sxNMGQwUuaDsviR4BtuX0g,5
7955,141444,-KUc0r9E94FpECd8JzKfeQ,jxbEwtV8Et1lm8ubk4AGuw,5
7955,97019,-KUc0r9E94FpECd8JzKfeQ,Vs7gc9EE3k9wARuUcN9piA,5
7955,31245,-KUc0r9E94FpECd8JzKfeQ,9fTDeI6mApFX52qYJ8z0mw,5
7955,168986,-KUc0r9E94FpECd8JzKfeQ,tMYYSWyTppDcF070Hmy-kQ,2
7975,82792,-KXz0H1tUb2UG9l1l_cgNQ,R4xJiZIgjQ8kb6mMRMJJjg,5
8648,111012,-MMTxCiShZzLeXQuY2kA9g,_bOlJfNELoVIiYGonYnPWw,1
9009,109184,-NGPeZ57hr2ZRNmvMuCvpQ,Zzl4ffV9kFY3yOSSgyRUBQ,1
9420,23752,-OOCIPkEihAmnqacYH5iRQ,77h11eWv6HKJAgojLx8G4w,5
9420,136281,-OOCIPkEihAmnqacYH5iRQ,iCQpiavjjPzJ5_3gPD5Ebg,3
9420,122645,-OOCIPkEihAmnqacYH5iRQ,d_L-rfS1vT3JMzgCUGtiow,5
9420,148874,-OOCIPkEihAmnqacYH5iRQ,mU3vlAVzTxgmZUu6F4XixA,5
9420,101550,-OOCIPkEihAmnqacYH5iRQ,XQETjKH84gxDrAiz2lH7Wg,4
9420,12120,-OOCIPkEihAmnqacYH5iRQ,3BCsAgo_1i4xMuTyLKMLRQ,5
9921,12936,-Pfj5b1-5tAKPu-aBORzXQ,3SozmlI5K7xapJBE41Ah1g,5
10079,171267,-Q4e76IjAqixOEKXkWYxlQ,u84xKtVRDLuh_P_zXWkzLQ,5
10079,128061,-Q4e76IjAqixOEKXkWYxlQ,fOq7DDqqsVm2XOFSL925XA,5
10079,46984,-Q4e76IjAqixOEKXkWYxlQ,EwxhzR-VghhMsRObXLMitw,5
10079,120987,-Q4e76IjAqixOEKXkWYxlQ,d-NDnFSfwUZ2wf4aDBic5Q,5
10079,143001,-Q4e76IjAqixOEKXkWYxlQ,kUQwaqwxKlScAQNhRx2_2w,1
10079,47032,-Q4e76IjAqixOEKXkWYxlQ,Ey1iEY8yAQG5MEBZPQ_niQ,4
10079,94825,-Q4e76IjAqixOEKXkWYxlQ,V96iWEiPOMLOSQgO4x2rfQ,5
10079,188121,-Q4e76IjAqixOEKXkWYxlQ,zpoZ6WyQUYff18-z4ZU1mA,5
10079,144837,-Q4e76IjAqixOEKXkWYxlQ,l6x6p6WDzyDujr2xscPx3A,5
10079,153299,-Q4e76IjAqixOEKXkWYxlQ,nyQsUIuE5hSPVbS4Z5O_UQ,5
10079,73089,-Q4e76IjAqixOEKXkWYxlQ,NoA6bD6W7z_Aztk_cOU5cg,5
10079,101882,-Q4e76IjAqixOEKXkWYxlQ,XXW_OFaYQkkGOGniujZFHg,1
10079,6293,-Q4e76IjAqixOEKXkWYxlQ,19S0gFtg5GTX6CkiApJiAQ,5
10079,25961,-Q4e76IjAqixOEKXkWYxlQ,7slEPwGWoQXiI9qT93U0tA,5
10079,165763,-Q4e76IjAqixOEKXkWYxlQ,sE05glLpll9KPv3dcO79GQ,5
10079,13555,-Q4e76IjAqixOEKXkWYxlQ,3fPIRTnBhd81MixgS9YoMQ,5
10079,137844,-Q4e76IjAqixOEKXkWYxlQ,ijg7qQCYnhUWBd5JUxbfvA,5
10079,19713,-Q4e76IjAqixOEKXkWYxlQ,5l-yKN13VwfPwuSiBIqdJQ,5
10079,7339,-Q4e76IjAqixOEKXkWYxlQ,1WD2WT0klJT7t-zL5ZmfUw,1
10079,114287,-Q4e76IjAqixOEKXkWYxlQ,ai5dbb7P-qwt113PaJJCwg,5
10079,56492,-Q4e76IjAqixOEKXkWYxlQ,I8j1gHLKNJVN4dNVUOsedw,5
10763,74196,-RxPtMYPpGWjS0u-fqA_JA,OBG1j517k7aZRNC1HAL0TA,3
10763,109404,-RxPtMYPpGWjS0u-fqA_JA,_3fBaGFFg4cjOEiMOJ2cgg,5
10763,181750,-RxPtMYPpGWjS0u-fqA_JA,xfQZKfbrn86O1PhmC_NXjQ,4
10763,98369,-RxPtMYPpGWjS0u-fqA_JA,WKMaC4BTpHoKZBrZnQe-PQ,3
10763,26314,-RxPtMYPpGWjS0u-fqA_JA,8-4EI1VyBQsMEvScE4LEJw,4
10763,169778,-RxPtMYPpGWjS0u-fqA_JA,tceyCEFQqVC3yJa9i5Pm7A,4
10763,34993,-RxPtMYPpGWjS0u-fqA_JA,Av0k1bRSDC9UjVoQXQaZYA,5
10763,160108,-RxPtMYPpGWjS0u-fqA_JA,qGtagj4xXNrF9rIEkiihTw,5
10763,33111,-RxPtMYPpGWjS0u-fqA_JA,AIeGHVUVZLBlJmdl7pJHJg,5
10763,47949,-RxPtMYPpGWjS0u-fqA_JA,FGwclM_lg__75xDmXz65tg,5
10763,136935,-RxPtMYPpGWjS0u-fqA_JA,iQz9XsaWS-ehRQCOVuF0OQ,5
10763,31744,-RxPtMYPpGWjS0u-fqA_JA,9qWdtNzhIe4iX_eC4w5hUA,5
10763,74848,-RxPtMYPpGWjS0u-fqA_JA,OOBSQF72cl3jBBpLQWhyzw,3
10763,59456,-RxPtMYPpGWjS0u-fqA_JA,J9BmILDpV1Pr3GKU9XhjTQ,2
10763,73349,-RxPtMYPpGWjS0u-fqA_JA,NtiBsNppXU0XS4zM89dphQ,3
10763,158048,-RxPtMYPpGWjS0u-fqA_JA,pa7UR7sUPYlxkUWZnA1-0A,4
10763,66658,-RxPtMYPpGWjS0u-fqA_JA,Lat1LYl8U9vSXcxYMBuw0g,4
10763,93061,-RxPtMYPpGWjS0u-fqA_JA,UYop9KYT-_mJsc2bcH83jw,2
10763,148687,-RxPtMYPpGWjS0u-fqA_JA,mPrhSr7A511DVO63ikV-hQ,5
10763,184657,-RxPtMYPpGWjS0u-fqA_JA,yeZzIGVIMsS5wyBhPs1r4w,4
10763,136477,-RxPtMYPpGWjS0u-fqA_JA,iGqGde420TlBrKcU43TEog,5
10763,32692,-RxPtMYPpGWjS0u-fqA_JA,A9W5rhp49EX-BYpALGLJdg,5
10763,185963,-RxPtMYPpGWjS0u-fqA_JA,z6xwlHA_TgxmXSes3o2bbg,3
10763,173495,-RxPtMYPpGWjS0u-fqA_JA,urkVZybwRNeOeu5vB2zUIg,5
10763,62507,-RxPtMYPpGWjS0u-fqA_JA,KAzeV46WSaOYDEeFPeLRYg,4
10763,157992,-RxPtMYPpGWjS0u-fqA_JA,pZyysYRFHP0oCOf6e1bVuw,5
10763,42205,-RxPtMYPpGWjS0u-fqA_JA,DKqhCd3Vwl3CEo8vUHhLYg,3
10763,24848,-RxPtMYPpGWjS0u-fqA_JA,7VKpGSfELQAkzeSbH2Ka8A,5
10763,36575,-RxPtMYPpGWjS0u-fqA_JA,BSchC5THOB0MFmzJTEqAnQ,3
10763,92072,-RxPtMYPpGWjS0u-fqA_JA,UDk7qUVIetK3Y3NuARguqg,3
10763,98150,-RxPtMYPpGWjS0u-fqA_JA,WFB1fn8rWNukmmIfTg6AMw,4
10763,3565,-RxPtMYPpGWjS0u-fqA_JA,0CaXX_gZohiltHDhvdtOpA,5
10763,165988,-RxPtMYPpGWjS0u-fqA_JA,sJ0MYSAIVK28cMzh-s-NPA,2
10763,5598,-RxPtMYPpGWjS0u-fqA_JA,0uQR_8vMSCK7Cue5qvI8SQ,5
10763,62324,-RxPtMYPpGWjS0u-fqA_JA,K6Q4jshtcZZg6giPn5NQLw,3
10763,74402,-RxPtMYPpGWjS0u-fqA_JA,OFAiA6En2HD0CqLkFDCNpg,4
10763,939,-RxPtMYPpGWjS0u-fqA_JA,-JDAieYuZocQSVYGqwWKog,5
10763,157471,-RxPtMYPpGWjS0u-fqA_JA,pOvTYClFgMm-wAXPW1CnhQ,5
10763,147604,-RxPtMYPpGWjS0u-fqA_JA,m2xeKBhS0szlm7xfU5b8ew,4
10763,104512,-RxPtMYPpGWjS0u-fqA_JA,YPHUfRvUo44LvsaXRTg4fw,4
10763,107178,-RxPtMYPpGWjS0u-fqA_JA,ZK-R-CcMrjuQKl9G910OWQ,4
10763,184090,-RxPtMYPpGWjS0u-fqA_JA,yU4zevCwPAQIMb73smTHog,4
10763,131419,-RxPtMYPpGWjS0u-fqA_JA,gZKPSpn2r5qJ6RRhPODmMw,4
10763,90639,-RxPtMYPpGWjS0u-fqA_JA,TjuSHnbPtB83R-1FzdBBgA,4
10763,38118,-RxPtMYPpGWjS0u-fqA_JA,ByrCDfyklGGk0D9O9P2Rog,5
10763,118573,-RxPtMYPpGWjS0u-fqA_JA,c9_CzbcXU6Rdn0MravsQ2w,4
10763,44545,-RxPtMYPpGWjS0u-fqA_JA,E7v9sMJx4_Swx7VtymNt5Q,4
10763,179139,-RxPtMYPpGWjS0u-fqA_JA,wmh__iKlDcD5T19p4SYF-w,2
10763,164888,-RxPtMYPpGWjS0u-fqA_JA,rvHGv9Q7r5QkIYrCZlfoAQ,5
10763,48557,-RxPtMYPpGWjS0u-fqA_JA,FTQJaBRZLttdYvYTKgqEFg,4
10763,1843,-RxPtMYPpGWjS0u-fqA_JA,-c4dvgL5eOmeEwCQlGcrOQ,5
10763,11250,-RxPtMYPpGWjS0u-fqA_JA,2t-a8qkgoRiiohThDVjfNw,5
10763,126407,-RxPtMYPpGWjS0u-fqA_JA,epy45cNXz4n7xnSBxjLmPQ,4
10763,119225,-RxPtMYPpGWjS0u-fqA_JA,cNhg02JDqlEbCF4EsXHrPQ,5
10763,131258,-RxPtMYPpGWjS0u-fqA_JA,gVj_DdvHzbO8wosBMaWWuA,3
10763,101111,-RxPtMYPpGWjS0u-fqA_JA,XH2FCZmsisDc8-oPw_ygHg,2
10763,155102,-RxPtMYPpGWjS0u-fqA_JA,o_sq_rvTBo59hm6TkDi6tg,3
10763,57314,-RxPtMYPpGWjS0u-fqA_JA,IRd0jvnfJ3tV6AMlYMajzw,5
10763,178136,-RxPtMYPpGWjS0u-fqA_JA,wRenOtfZOOwBH57U01Ipnw,4
10763,49154,-RxPtMYPpGWjS0u-fqA_JA,FfA7BYSEc46Y3lKHOiqn4g,4
10763,65870,-RxPtMYPpGWjS0u-fqA_JA,LL7EY-YARSY41n98P9509w,4
10763,9301,-RxPtMYPpGWjS0u-fqA_JA,2BZHdgZHa3QtiNFC5bzy1w,5
10763,76275,-RxPtMYPpGWjS0u-fqA_JA,Or7FgbgY8ML30zgYj_DCwA,2
10763,25433,-RxPtMYPpGWjS0u-fqA_JA,7hUp4XxmUCGqvPFAM8IJww,5
11042,118255,-Sh4WcrdUO8CfG7SYIQesA,c24ZZshnU3sKqHQF8K_7Yg,4
11042,33600,-Sh4WcrdUO8CfG7SYIQesA,ATMiPNPxN-g1ra7nar5prA,2
11536,179793,-U24E6rRyXj7JquF82Rq9A,x0Ec6gz07SBnWrBOQLisiA,4
11554,44042,-U4vS4qp47MLkqF3SWEahA,DyVteo8Blf5gEfC9QbJE9A,2
12267,83230,-W-hqC1sj96cPmbEKnmKDg,RESDUcs7fIiihp38-d6_6g,2
12267,95493,-W-hqC1sj96cPmbEKnmKDg,VMr8sgoQOW0fo0qVJENajA,5
12515,13951,-WepbllW7ONi4AXgf7Ibng,3nRaWjtgTxoqtpHKJy5u4g,1
13649,11249,-ZkK0Ijdk8aZSaiQmV5Vww,2sx52lDoiEtef7xgPCaoBw,5
13649,178728,-ZkK0Ijdk8aZSaiQmV5Vww,wdOOK3K6vzQy1d_OIk-U9w,5
13649,55433,-ZkK0Ijdk8aZSaiQmV5Vww,HmsCerK_rub0Ulo0aC0f9A,5
13649,34887,-ZkK0Ijdk8aZSaiQmV5Vww,AtD6B83S4Mbmq0t7iDnUVA,5
13649,187163,-ZkK0Ijdk8aZSaiQmV5Vww,zXBrfL_ohYMuBZWvF8EcSA,1
13649,159466,-ZkK0Ijdk8aZSaiQmV5Vww,q3YnYPjLuBGRDi_59yTC5g,5
13649,37507,-ZkK0Ijdk8aZSaiQmV5Vww,Bm8nRUsZ-dK6g2eJLxMTOw,5
13649,18061,-ZkK0Ijdk8aZSaiQmV5Vww,5CJL_2-XwCGBmOav4mFdYg,5
13649,172954,-ZkK0Ijdk8aZSaiQmV5Vww,ugLqbAvBdRDc-gS4hpslXw,5
13740,8335,-_0btXCjNKivVP6bKgkLXg,1qkKfqhO8z2XMzLLDFE96Q,5
14401,121991,-ao2vG8m_51FyAhqERRePg,dLc1d1zwd1Teu2QED5TmlA,2
14814,152164,-btclF8A5IamqGENZ9pmNg,n_xqf8Es-k2XBOneXfYGRg,2
14814,43857,-btclF8A5IamqGENZ9pmNg,DuQtouEXOfo5K4ukON3qwQ,5
14814,139282,-btclF8A5IamqGENZ9pmNg,jDQIKfsfJU3M8M6n0ESKFg,5
14814,29385,-btclF8A5IamqGENZ9pmNg,93kdIq8Ao3KJgXWiuD4ZIw,2
15810,115673,-eSeFJQ7XSorwhIZUXN3GQ,bAPjkuNJ67j2F4C5HQQHhQ,5
16583,164404,-gWiotm4ExV5sYPGpDosKQ,rkqTVzTkLaWSUybaWUMIdA,1
16583,156413,-gWiotm4ExV5sYPGpDosKQ,p1xvtfpcue1e7hI3SCeA9w,1
17180,119737,-iEatHiTd8wcwAiQxgrIYw,cYwJA2A6I12KNkm2rtXd5g,5
17438,138540,-iwa9vbYpmoccEkKC36m8A,izNFwY0XMPsmmUDaSzB9ig,2
17704,78792,-jfitNx--Ocat8-OYSaofQ,PipYLRCLVC55HIXllbQ-rg,5
18023,51360,-kZ3ZmeUHpLm_-dyZrtI2w,GPVHfoDjSOivqgIDjIOA-Q,5
18023,89292,-kZ3ZmeUHpLm_-dyZrtI2w,THcAGc-Fb8gqmA1V-KvFkw,5
18550,19799,-ly-GF1ZbuacYj0jmS9Y6g,5mb-6Guz9xqNXMigh8noMQ,2
18596,1965,-m7IlAlp0Ae9U_AMPCqVVA,-ed0Yc9on37RoIoG2ZgxBA,4
18981,90518,-nEfurGVToBwwbO3RHwO-Q,TgjgHz-QRrv60QKYZ-qmMg,4
19926,25397,-pq68VVFQ3mFFClbYolzHw,7gnYWanhD6O7qOF-NfPNhA,1
19926,59138,-pq68VVFQ3mFFClbYolzHw,J2FrFegAtzrwoFqtMIa-vQ,1
20003,19443,-q0eHQO7is5NvwVQzGGw1w,5euk5_UKqnAWcrbOPNYt0g,5
20070,119096,-qBUva7mKW7bjjBTab4mpg,cKZu_xLYp6lx6jLZ9bHRCQ,5
20103,128974,-qHy-tS1NGSZyQ4nUtEs9Q,fgxW2Eww2MzMHd8eWT58Ig,1
